"pais","estado","siglas","ano","tentativa_homicidio","consumado_homicidio","","","","",""
"Brasil","Ceará","CE","2022","324","264","","","","",""
"Brasil","Distrito Federal","DF","2022","207","33","","","","",""
"Brasil","Espírito Santo","ES","2022","450","97","","","","",""
"Brasil","Goiás","GO","2022","365","137","","","","",""
"Brasil","Maranhão","MA","2022","261","130","","","","",""
"Brasil","Mato Grosso","MT","2022","249","101","","","","",""
"Brasil","Mato Grosso do Sul","MS","2022","210","77","","","","",""
"Brasil","Minas Gerais","MG","2022","413","316","","","","",""
"Brasil","Pará","PA","2022","330","209","","","","",""
"Brasil","Paraíba","PB","2022","82","80","","","","",""
"Brasil","Paraná","PR","2022","375","256","","","","",""
"Brasil","Pernambuco","PE","2022","374","219","","","","",""
"Brasil","Piauí","PI","2022","197","71","","","","",""
"Brasil","Rio de Janeiro","RJ","2022","536","283","","","","",""
"Brasil","Rio Grande do Norte","RN","2022","349","66","","","","",""
"Brasil","Rio Grande do Sul","RS","2022","602","283","","","","",""
"Brasil","Rondônia","RO","2022","158","64","","","","",""
"Brasil","Roraima","RR","2022","49","19","","","","",""
"Brasil","Santa Catarina","SC","2022","385","102","","","","",""
"Brasil","São Paulo","SP","2022","399","423","","","","",""
"Brasil","Sergipe","SE","2022","125","37","","","","",""
"Brasil","Tocantins","TO","2022","134","36","","","","",""
"Brasil","Acre","AC","2023","79","15","","","","",""
"Brasil","Alagoas","AL","2023","181","79","","","","",""
"Brasil","Amapá","AP","2023","125","17","","","","",""
"Brasil","Amazonas","AM","2023","171","126","","","","",""
"Brasil","Bahia","BA","2023","611","442","","","","",""
"Brasil","Ceará","CE","2023","315","264","","","","",""
"Brasil","Distrito Federal","DF","2023","240","47","","","","",""
"Brasil","Espírito Santo","ES","2023","484","88","","","","",""
"Brasil","Goiás","GO","2023","359","125","","","","",""
"Brasil","Maranhão","MA","2023","264","134","","","","",""
"Brasil","Mato Grosso","MT","2023","343","103","","","","",""
"Brasil","Mato Grosso do Sul","MS","2023","170","51","","","","",""
"Brasil","Minas Gerais","MG","2023","407","323","","","","",""
"Brasil","Pará","PA","2023","465","204","","","","",""
"Brasil","Paraíba","PB","2023","99","74","","","","",""
"Brasil","Paraná","PR","2023","285","245","","","","",""
"Brasil","Pernambuco","PE","2023","386","271","","","","",""
"Brasil","Piauí","PI","2023","154","62","","","","",""
"Brasil","Rio de Janeiro","RJ","2023","593","291","","","","",""
"Brasil","Rio Grande do Norte","RN","2023","432","55","","","","",""
"Brasil","Rio Grande do Sul","RS","2023","630","220","","","","",""
"Brasil","Rondônia","RO","2023","179","48","","","","",""
"Brasil","Roraima","RR","2023","60","17","","","","",""
"Brasil","Santa Catarina","SC","2023","457","107","","","","",""
"Brasil","São Paulo","SP","2023","619","447","","","","",""
"Brasil","Sergipe","SE","2023","152","39","","","","",""
"Brasil","Tocantins","TO","2023","112","36","","","","",""
